scorer,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90,DLC_Resnet50_tracking_20252606-16-11Expnt001May22shuffle1_snapshot_best-90
bodyparts,point_1,point_1,point_1,point_2,point_2,point_2,point_3,point_3,point_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
191,787.1856,576.07385,0.8585042,808.445,550.5615,0.964355,756.7375,468.1118,0.8092506
192,786.9325,576.962,0.87700105,808.7006,550.22394,0.95121,756.8532,467.54504,0.7678355
193,786.9341,576.96844,0.8903782,808.9968,550.58496,0.947953,756.79535,467.28845,0.8023418
194,787.14294,576.93445,0.88841844,808.4868,550.785,0.9397247,756.3085,467.44675,0.8807434
195,787.02966,576.792,0.88505965,808.2017,550.5719,0.9460151,755.3307,466.76462,0.8150357
196,787.3833,576.20154,0.86114854,808.6805,550.45764,0.9420059,754.48615,466.53036,0.7942811
197,787.8018,576.07605,0.888671,809.2441,550.37366,0.95783335,755.27014,467.08737,0.7689856
198,788.1845,577.00433,0.908307,810.4827,551.14325,0.9402021,756.0932,467.57385,0.75431514
199,789.18964,577.3377,0.91268426,812.4379,550.84644,0.9665913,756.76953,468.73993,0.838442
200,790.6844,577.27545,0.89992034,813.30237,550.32996,0.9741275,756.9617,469.81232,0.8392336
201,790.96643,577.26965,0.8895164,813.768,550.009,0.9680267,757.8089,469.19098,0.8042302
202,790.7313,577.34906,0.88546056,813.9615,550.2722,0.9486274,761.15216,468.4148,0.6717596
